timestamp_localtime,experiment,pioreactor_unit,timestamp,alt_media_fraction
2023-11-28 00:54:47,Spirulina 003,pio001,2023-11-28T00:54:47.677127Z,0.0
2023-11-28 01:11:52,Spirulina 003,pio001,2023-11-28T01:11:52.893328Z,0.0
2023-11-28 01:16:42,Spirulina 003,pio001,2023-11-28T01:16:42.877050Z,0.0
2023-11-28 01:50:15,Spirulina 003,pio001,2023-11-28T01:50:15.352464Z,0.0
2023-11-28 01:50:21,Spirulina 003,pio001,2023-11-28T01:50:21.617054Z,0.0
2023-11-28 01:50:23,Spirulina 003,pio001,2023-11-28T01:50:23.130974Z,0.0
2023-11-28 01:56:15,Spirulina 003,pio001,2023-11-28T01:56:15.317937Z,0.0
2023-11-28 01:56:21,Spirulina 003,pio001,2023-11-28T01:56:21.573443Z,0.0
2023-11-28 01:56:23,Spirulina 003,pio001,2023-11-28T01:56:23.033776Z,0.0
2023-11-28 01:59:15,Spirulina 003,pio001,2023-11-28T01:59:15.310829Z,0.0
2023-11-28 01:59:21,Spirulina 003,pio001,2023-11-28T01:59:21.555193Z,0.0
2023-11-28 01:59:23,Spirulina 003,pio001,2023-11-28T01:59:23.026847Z,0.0
2023-11-28 02:13:45,Spirulina 003,pio001,2023-11-28T02:13:45.352546Z,0.0
2023-11-28 02:13:51,Spirulina 003,pio001,2023-11-28T02:13:51.609733Z,0.0
2023-11-28 02:13:53,Spirulina 003,pio001,2023-11-28T02:13:53.085996Z,0.0
2023-11-28 02:43:45,Spirulina 003,pio001,2023-11-28T02:43:45.316649Z,0.0
2023-11-28 02:43:51,Spirulina 003,pio001,2023-11-28T02:43:51.561937Z,0.0
2023-11-28 02:43:53,Spirulina 003,pio001,2023-11-28T02:43:53.018071Z,0.0
2023-11-28 03:05:45,Spirulina 003,pio001,2023-11-28T03:05:45.317719Z,0.0
2023-11-28 03:05:51,Spirulina 003,pio001,2023-11-28T03:05:51.577185Z,0.0
2023-11-28 03:05:53,Spirulina 003,pio001,2023-11-28T03:05:53.038750Z,0.0
2023-11-28 03:52:15,Spirulina 003,pio001,2023-11-28T03:52:15.329265Z,0.0
2023-11-28 03:52:21,Spirulina 003,pio001,2023-11-28T03:52:21.589175Z,0.0
2023-11-28 03:52:23,Spirulina 003,pio001,2023-11-28T03:52:23.051903Z,0.0
2023-11-28 04:20:45,Spirulina 003,pio001,2023-11-28T04:20:45.325023Z,0.0
2023-11-28 04:20:51,Spirulina 003,pio001,2023-11-28T04:20:51.583706Z,0.0
2023-11-28 04:20:53,Spirulina 003,pio001,2023-11-28T04:20:53.051127Z,0.0
2023-11-28 07:10:15,Spirulina 003,pio001,2023-11-28T07:10:15.311747Z,0.0
2023-11-28 07:10:21,Spirulina 003,pio001,2023-11-28T07:10:21.561763Z,0.0
2023-11-28 07:10:23,Spirulina 003,pio001,2023-11-28T07:10:23.039596Z,0.0
2023-11-28 09:43:45,Spirulina 003,pio001,2023-11-28T09:43:45.320965Z,0.0
2023-11-28 09:43:51,Spirulina 003,pio001,2023-11-28T09:43:51.565539Z,0.0
2023-11-28 09:43:53,Spirulina 003,pio001,2023-11-28T09:43:53.033552Z,0.0
2023-11-28 09:50:15,Spirulina 003,pio001,2023-11-28T09:50:15.252551Z,0.0
2023-11-28 09:50:21,Spirulina 003,pio001,2023-11-28T09:50:21.493497Z,0.0
2023-11-28 09:50:22,Spirulina 003,pio001,2023-11-28T09:50:22.962071Z,0.0
2023-11-28 10:33:15,Spirulina 003,pio001,2023-11-28T10:33:15.314607Z,0.0
2023-11-28 10:33:21,Spirulina 003,pio001,2023-11-28T10:33:21.566199Z,0.0
2023-11-28 10:33:23,Spirulina 003,pio001,2023-11-28T10:33:23.093167Z,0.0
2023-11-28 10:46:45,Spirulina 003,pio001,2023-11-28T10:46:45.222532Z,0.0
2023-11-28 10:46:51,Spirulina 003,pio001,2023-11-28T10:46:51.509505Z,0.0
2023-11-28 10:46:53,Spirulina 003,pio001,2023-11-28T10:46:53.006626Z,0.0
2023-11-28 11:05:45,Spirulina 003,pio001,2023-11-28T11:05:45.355638Z,0.0
2023-11-28 11:05:51,Spirulina 003,pio001,2023-11-28T11:05:51.604188Z,0.0
2023-11-28 11:05:53,Spirulina 003,pio001,2023-11-28T11:05:53.070425Z,0.0
2023-11-28 12:47:15,Spirulina 003,pio001,2023-11-28T12:47:15.317385Z,0.0
2023-11-28 12:47:21,Spirulina 003,pio001,2023-11-28T12:47:21.568373Z,0.0
2023-11-28 12:47:23,Spirulina 003,pio001,2023-11-28T12:47:23.038072Z,0.0
2023-11-28 13:21:45,Spirulina 003,pio001,2023-11-28T13:21:45.318951Z,0.0
2023-11-28 13:21:51,Spirulina 003,pio001,2023-11-28T13:21:51.581216Z,0.0
2023-11-28 13:21:53,Spirulina 003,pio001,2023-11-28T13:21:53.055527Z,0.0
2023-11-28 13:54:15,Spirulina 003,pio001,2023-11-28T13:54:15.319030Z,0.0
2023-11-28 13:54:21,Spirulina 003,pio001,2023-11-28T13:54:21.572538Z,0.0
2023-11-28 13:54:23,Spirulina 003,pio001,2023-11-28T13:54:23.033954Z,0.0
2023-11-28 14:24:45,Spirulina 003,pio001,2023-11-28T14:24:45.320254Z,0.0
2023-11-28 14:24:51,Spirulina 003,pio001,2023-11-28T14:24:51.570939Z,0.0
2023-11-28 14:24:53,Spirulina 003,pio001,2023-11-28T14:24:53.036314Z,0.0
2023-11-28 14:41:45,Spirulina 003,pio001,2023-11-28T14:41:45.320388Z,0.0
2023-11-28 14:41:51,Spirulina 003,pio001,2023-11-28T14:41:51.565386Z,0.0
2023-11-28 14:41:53,Spirulina 003,pio001,2023-11-28T14:41:53.026115Z,0.0
2023-11-28 15:22:45,Spirulina 003,pio001,2023-11-28T15:22:45.313066Z,0.0
2023-11-28 15:22:51,Spirulina 003,pio001,2023-11-28T15:22:51.576722Z,0.0
2023-11-28 15:22:53,Spirulina 003,pio001,2023-11-28T15:22:53.025058Z,0.0
2023-11-28 16:49:45,Spirulina 003,pio001,2023-11-28T16:49:45.312944Z,0.0
2023-11-28 16:49:51,Spirulina 003,pio001,2023-11-28T16:49:51.600615Z,0.0
2023-11-28 16:49:53,Spirulina 003,pio001,2023-11-28T16:49:53.098762Z,0.0
2023-11-28 17:03:15,Spirulina 003,pio001,2023-11-28T17:03:15.322046Z,0.0
2023-11-28 17:03:21,Spirulina 003,pio001,2023-11-28T17:03:21.582269Z,0.0
2023-11-28 17:03:23,Spirulina 003,pio001,2023-11-28T17:03:23.045147Z,0.0
2023-11-28 21:50:45,Spirulina 003,pio001,2023-11-28T21:50:45.313826Z,0.0
2023-11-28 21:50:51,Spirulina 003,pio001,2023-11-28T21:50:51.557912Z,0.0
2023-11-28 21:50:53,Spirulina 003,pio001,2023-11-28T21:50:53.060063Z,0.0
2023-11-28 22:19:45,Spirulina 003,pio001,2023-11-28T22:19:45.327602Z,0.0
2023-11-28 22:19:51,Spirulina 003,pio001,2023-11-28T22:19:51.586515Z,0.0
2023-11-28 22:19:53,Spirulina 003,pio001,2023-11-28T22:19:53.069051Z,0.0
2023-11-28 23:25:15,Spirulina 003,pio001,2023-11-28T23:25:15.322165Z,0.0
2023-11-28 23:25:21,Spirulina 003,pio001,2023-11-28T23:25:21.566097Z,0.0
2023-11-28 23:25:23,Spirulina 003,pio001,2023-11-28T23:25:23.055548Z,0.0
2023-11-28 23:50:15,Spirulina 003,pio001,2023-11-28T23:50:15.361005Z,0.0
