timestamp_localtime,experiment,pioreactor_unit,timestamp,channel,intensity,source_of_event
2023-12-08 09:56:44,Spirulina 003,pio001,2023-12-08T09:56:44.027054Z,C,0.0,led_automation:light_dark_cycle
2023-12-08 17:56:43,Spirulina 003,pio001,2023-12-08T17:56:43.974053Z,D,75.0,led_automation:light_dark_cycle
2023-12-08 17:56:44,Spirulina 003,pio001,2023-12-08T17:56:44.026478Z,C,75.0,led_automation:light_dark_cycle
2023-12-09 09:56:43,Spirulina 003,pio001,2023-12-09T09:56:43.974523Z,D,0.0,led_automation:light_dark_cycle
2023-12-09 09:56:44,Spirulina 003,pio001,2023-12-09T09:56:44.025809Z,C,0.0,led_automation:light_dark_cycle
2023-12-09 17:56:43,Spirulina 003,pio001,2023-12-09T17:56:43.976256Z,D,75.0,led_automation:light_dark_cycle
2023-12-09 17:56:44,Spirulina 003,pio001,2023-12-09T17:56:44.030213Z,C,75.0,led_automation:light_dark_cycle
2023-12-10 09:56:43,Spirulina 003,pio001,2023-12-10T09:56:43.976610Z,D,0.0,led_automation:light_dark_cycle
2023-12-10 09:56:44,Spirulina 003,pio001,2023-12-10T09:56:44.028685Z,C,0.0,led_automation:light_dark_cycle
2023-12-10 17:56:43,Spirulina 003,pio001,2023-12-10T17:56:43.976771Z,D,75.0,led_automation:light_dark_cycle
2023-12-10 17:56:44,Spirulina 003,pio001,2023-12-10T17:56:44.029447Z,C,75.0,led_automation:light_dark_cycle
2023-12-11 09:56:43,Spirulina 003,pio001,2023-12-11T09:56:43.974613Z,D,0.0,led_automation:light_dark_cycle
2023-12-11 09:56:44,Spirulina 003,pio001,2023-12-11T09:56:44.026719Z,C,0.0,led_automation:light_dark_cycle
2023-12-11 17:56:43,Spirulina 003,pio001,2023-12-11T17:56:43.974876Z,D,75.0,led_automation:light_dark_cycle
2023-12-11 17:56:44,Spirulina 003,pio001,2023-12-11T17:56:44.026916Z,C,75.0,led_automation:light_dark_cycle
2023-12-11 18:29:48,Spirulina 003,pio001,2023-12-11T18:29:48.556011Z,D,90.0,UI
2023-12-11 18:30:50,Spirulina 003,pio001,2023-12-11T18:30:50.801780Z,C,90.0,UI
2023-12-12 09:56:43,Spirulina 003,pio001,2023-12-12T09:56:43.974413Z,D,0.0,led_automation:light_dark_cycle
2023-12-12 09:56:44,Spirulina 003,pio001,2023-12-12T09:56:44.025284Z,C,0.0,led_automation:light_dark_cycle
2023-12-12 17:56:43,Spirulina 003,pio001,2023-12-12T17:56:43.974987Z,D,75.0,led_automation:light_dark_cycle
2023-12-12 17:56:44,Spirulina 003,pio001,2023-12-12T17:56:44.027634Z,C,75.0,led_automation:light_dark_cycle
2023-12-13 09:56:43,Spirulina 003,pio001,2023-12-13T09:56:43.975497Z,D,0.0,led_automation:light_dark_cycle
2023-12-13 09:56:44,Spirulina 003,pio001,2023-12-13T09:56:44.026938Z,C,0.0,led_automation:light_dark_cycle
2023-12-13 17:56:43,Spirulina 003,pio001,2023-12-13T17:56:43.975142Z,D,75.0,led_automation:light_dark_cycle
2023-12-13 17:56:44,Spirulina 003,pio001,2023-12-13T17:56:44.026834Z,C,75.0,led_automation:light_dark_cycle
2023-12-13 20:18:29,Spirulina 003,pio001,2023-12-13T20:18:29.381612Z,B,10.0,UI
2023-12-13 20:18:36,Spirulina 003,pio001,2023-12-13T20:18:36.630812Z,B,10.0,UI
2023-12-13 20:19:13,Spirulina 003,pio001,2023-12-13T20:19:13.659002Z,B,50.0,UI
2023-12-13 20:19:54,Spirulina 003,pio001,2023-12-13T20:19:54.456753Z,B,0.0,UI
2023-12-13 20:22:06,Spirulina 003,pio001,2023-12-13T20:22:06.845488Z,B,10.0,UI
2023-12-13 20:22:10,Spirulina 003,pio001,2023-12-13T20:22:10.947523Z,B,10.0,UI
2023-12-13 20:22:25,Spirulina 003,pio001,2023-12-13T20:22:25.600641Z,B,50.0,UI
2023-12-13 20:23:01,Spirulina 003,pio001,2023-12-13T20:23:01.771676Z,B,75.0,UI
2023-12-13 20:23:21,Spirulina 003,pio001,2023-12-13T20:23:21.235529Z,B,100.0,UI
2023-12-13 21:05:33,Spirulina 003,pio001,2023-12-13T21:05:33.898090Z,B,0.0,UI
2023-12-14 09:56:43,Spirulina 003,pio001,2023-12-14T09:56:43.973722Z,D,0.0,led_automation:light_dark_cycle
2023-12-14 09:56:44,Spirulina 003,pio001,2023-12-14T09:56:44.023706Z,C,0.0,led_automation:light_dark_cycle
2023-12-14 17:56:43,Spirulina 003,pio001,2023-12-14T17:56:43.974535Z,D,75.0,led_automation:light_dark_cycle
2023-12-14 17:56:44,Spirulina 003,pio001,2023-12-14T17:56:44.027431Z,C,75.0,led_automation:light_dark_cycle
2023-12-15 09:56:43,Spirulina 003,pio001,2023-12-15T09:56:43.975431Z,D,0.0,led_automation:light_dark_cycle
2023-12-15 09:56:44,Spirulina 003,pio001,2023-12-15T09:56:44.027649Z,C,0.0,led_automation:light_dark_cycle
2023-12-15 14:53:27,Spirulina 003,pio001,2023-12-15T14:53:27.846377Z,B,100.0,UI
2023-12-15 17:56:43,Spirulina 003,pio001,2023-12-15T17:56:43.974673Z,D,75.0,led_automation:light_dark_cycle
2023-12-15 17:56:44,Spirulina 003,pio001,2023-12-15T17:56:44.026795Z,C,75.0,led_automation:light_dark_cycle
2023-12-16 09:56:43,Spirulina 003,pio001,2023-12-16T09:56:43.974900Z,D,0.0,led_automation:light_dark_cycle
2023-12-16 09:56:44,Spirulina 003,pio001,2023-12-16T09:56:44.027745Z,C,0.0,led_automation:light_dark_cycle
2023-12-16 17:56:43,Spirulina 003,pio001,2023-12-16T17:56:43.974121Z,D,75.0,led_automation:light_dark_cycle
2023-12-16 17:56:44,Spirulina 003,pio001,2023-12-16T17:56:44.026065Z,C,75.0,led_automation:light_dark_cycle
2023-12-17 09:56:43,Spirulina 003,pio001,2023-12-17T09:56:43.976917Z,D,0.0,led_automation:light_dark_cycle
2023-12-17 09:56:44,Spirulina 003,pio001,2023-12-17T09:56:44.030129Z,C,0.0,led_automation:light_dark_cycle
2023-12-17 17:56:43,Spirulina 003,pio001,2023-12-17T17:56:43.974785Z,D,75.0,led_automation:light_dark_cycle
2023-12-17 17:56:44,Spirulina 003,pio001,2023-12-17T17:56:44.026216Z,C,75.0,led_automation:light_dark_cycle
2023-12-18 09:56:43,Spirulina 003,pio001,2023-12-18T09:56:43.976262Z,D,0.0,led_automation:light_dark_cycle
2023-12-18 09:56:44,Spirulina 003,pio001,2023-12-18T09:56:44.029135Z,C,0.0,led_automation:light_dark_cycle
2023-12-18 17:56:43,Spirulina 003,pio001,2023-12-18T17:56:43.976534Z,D,75.0,led_automation:light_dark_cycle
2023-12-18 17:56:44,Spirulina 003,pio001,2023-12-18T17:56:44.029904Z,C,75.0,led_automation:light_dark_cycle
2023-12-20 20:25:10,Spirulina 003,pio001,2023-12-20T20:25:10.965648Z,B,100.0,UI
2023-12-20 20:28:16,Spirulina 003,pio001,2023-12-20T20:28:16.922958Z,B,0.0,UI
