timestamp_localtime,experiment,pioreactor_unit,timestamp,event,volume_change_ml,source_of_event
2023-11-28 13:54:15,Spirulina 003,pio001,2023-11-28T13:54:15.307548Z,add_media,0.1,dosing_automation:turbidostat
2023-11-28 13:54:21,Spirulina 003,pio001,2023-11-28T13:54:21.563815Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-28 13:54:23,Spirulina 003,pio001,2023-11-28T13:54:23.025955Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-28 14:24:45,Spirulina 003,pio001,2023-11-28T14:24:45.309471Z,add_media,0.1,dosing_automation:turbidostat
2023-11-28 14:24:51,Spirulina 003,pio001,2023-11-28T14:24:51.561512Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-28 14:24:53,Spirulina 003,pio001,2023-11-28T14:24:53.023966Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-28 14:41:45,Spirulina 003,pio001,2023-11-28T14:41:45.311728Z,add_media,0.1,dosing_automation:turbidostat
2023-11-28 14:41:51,Spirulina 003,pio001,2023-11-28T14:41:51.556550Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-28 14:41:53,Spirulina 003,pio001,2023-11-28T14:41:53.016715Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-28 15:22:45,Spirulina 003,pio001,2023-11-28T15:22:45.306212Z,add_media,0.1,dosing_automation:turbidostat
2023-11-28 15:22:51,Spirulina 003,pio001,2023-11-28T15:22:51.564967Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-28 15:22:53,Spirulina 003,pio001,2023-11-28T15:22:53.018069Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-28 16:49:45,Spirulina 003,pio001,2023-11-28T16:49:45.305581Z,add_media,0.1,dosing_automation:turbidostat
2023-11-28 16:49:51,Spirulina 003,pio001,2023-11-28T16:49:51.589508Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-28 16:49:53,Spirulina 003,pio001,2023-11-28T16:49:53.090543Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-28 17:03:15,Spirulina 003,pio001,2023-11-28T17:03:15.312861Z,add_media,0.1,dosing_automation:turbidostat
2023-11-28 17:03:21,Spirulina 003,pio001,2023-11-28T17:03:21.574567Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-28 17:03:23,Spirulina 003,pio001,2023-11-28T17:03:23.037153Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-28 21:50:45,Spirulina 003,pio001,2023-11-28T21:50:45.305862Z,add_media,0.1,dosing_automation:turbidostat
2023-11-28 21:50:51,Spirulina 003,pio001,2023-11-28T21:50:51.547361Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-28 21:50:53,Spirulina 003,pio001,2023-11-28T21:50:53.049920Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-28 22:19:45,Spirulina 003,pio001,2023-11-28T22:19:45.317467Z,add_media,0.1,dosing_automation:turbidostat
2023-11-28 22:19:51,Spirulina 003,pio001,2023-11-28T22:19:51.575352Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-28 22:19:53,Spirulina 003,pio001,2023-11-28T22:19:53.058673Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-28 23:25:15,Spirulina 003,pio001,2023-11-28T23:25:15.312450Z,add_media,0.1,dosing_automation:turbidostat
2023-11-28 23:25:21,Spirulina 003,pio001,2023-11-28T23:25:21.556816Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-28 23:25:23,Spirulina 003,pio001,2023-11-28T23:25:23.046651Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-28 23:50:15,Spirulina 003,pio001,2023-11-28T23:50:15.351555Z,add_media,0.1,dosing_automation:turbidostat
2023-11-28 23:50:21,Spirulina 003,pio001,2023-11-28T23:50:21.636404Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-28 23:50:23,Spirulina 003,pio001,2023-11-28T23:50:23.143480Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-29 00:07:45,Spirulina 003,pio001,2023-11-29T00:07:45.338131Z,add_media,0.1,dosing_automation:turbidostat
2023-11-29 00:07:51,Spirulina 003,pio001,2023-11-29T00:07:51.585761Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-29 00:07:53,Spirulina 003,pio001,2023-11-29T00:07:53.056426Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-29 00:35:45,Spirulina 003,pio001,2023-11-29T00:35:45.303354Z,add_media,0.1,dosing_automation:turbidostat
2023-11-29 00:35:51,Spirulina 003,pio001,2023-11-29T00:35:51.549566Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-29 00:35:53,Spirulina 003,pio001,2023-11-29T00:35:53.028934Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-29 01:16:15,Spirulina 003,pio001,2023-11-29T01:16:15.317726Z,add_media,0.1,dosing_automation:turbidostat
2023-11-29 01:16:21,Spirulina 003,pio001,2023-11-29T01:16:21.564363Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-29 01:16:23,Spirulina 003,pio001,2023-11-29T01:16:23.032123Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-29 04:49:45,Spirulina 003,pio001,2023-11-29T04:49:45.310804Z,add_media,0.1,dosing_automation:turbidostat
2023-11-29 04:49:51,Spirulina 003,pio001,2023-11-29T04:49:51.551644Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-29 04:49:53,Spirulina 003,pio001,2023-11-29T04:49:53.031289Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-29 05:07:15,Spirulina 003,pio001,2023-11-29T05:07:15.310141Z,add_media,0.1,dosing_automation:turbidostat
2023-11-29 05:07:21,Spirulina 003,pio001,2023-11-29T05:07:21.623128Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-29 05:07:23,Spirulina 003,pio001,2023-11-29T05:07:23.158200Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-29 05:23:45,Spirulina 003,pio001,2023-11-29T05:23:45.317499Z,add_media,0.1,dosing_automation:turbidostat
2023-11-29 05:23:51,Spirulina 003,pio001,2023-11-29T05:23:51.577286Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-29 05:23:53,Spirulina 003,pio001,2023-11-29T05:23:53.048769Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-29 06:12:45,Spirulina 003,pio001,2023-11-29T06:12:45.306637Z,add_media,0.1,dosing_automation:turbidostat
2023-11-29 06:12:51,Spirulina 003,pio001,2023-11-29T06:12:51.554267Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-29 06:12:53,Spirulina 003,pio001,2023-11-29T06:12:53.064838Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-29 06:31:15,Spirulina 003,pio001,2023-11-29T06:31:15.208145Z,add_media,0.1,dosing_automation:turbidostat
2023-11-29 06:31:21,Spirulina 003,pio001,2023-11-29T06:31:21.465546Z,remove_waste,0.1,dosing_automation:turbidostat
2023-11-29 06:31:22,Spirulina 003,pio001,2023-11-29T06:31:22.936610Z,remove_waste,0.2,dosing_automation:turbidostat
2023-11-29 08:50:45,Spirulina 003,pio001,2023-11-29T08:50:45.333772Z,add_media,0.1,dosing_automation:turbidostat
2023-11-29 08:50:51,Spirulina 003,pio001,2023-11-29T08:50:51.577883Z,remove_waste,0.1,dosing_automation:turbidostat
