timestamp_localtime,experiment,pioreactor_unit,timestamp,event,volume_change_ml,source_of_event
2024-08-11 07:33:59,Booch01,pio02,2024-08-11T06:33:59.946155Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:34:20,Booch01,pio02,2024-08-11T06:34:20.771886Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:34:49,Booch01,pio02,2024-08-11T06:34:49.082935Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:34:59,Booch01,pio02,2024-08-11T06:34:59.669364Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:35:20,Booch01,pio02,2024-08-11T06:35:20.494822Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:35:48,Booch01,pio02,2024-08-11T06:35:48.807050Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:35:59,Booch01,pio02,2024-08-11T06:35:59.294954Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:36:20,Booch01,pio02,2024-08-11T06:36:20.119936Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:36:48,Booch01,pio02,2024-08-11T06:36:48.462290Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:36:58,Booch01,pio02,2024-08-11T06:36:58.981495Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:37:19,Booch01,pio02,2024-08-11T06:37:19.906865Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:37:48,Booch01,pio02,2024-08-11T06:37:48.216191Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:37:58,Booch01,pio02,2024-08-11T06:37:58.724307Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:38:19,Booch01,pio02,2024-08-11T06:38:19.551470Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:38:47,Booch01,pio02,2024-08-11T06:38:47.862226Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:38:58,Booch01,pio02,2024-08-11T06:38:58.352276Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:39:19,Booch01,pio02,2024-08-11T06:39:19.207073Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:39:47,Booch01,pio02,2024-08-11T06:39:47.618726Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:39:58,Booch01,pio02,2024-08-11T06:39:58.104856Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:40:18,Booch01,pio02,2024-08-11T06:40:18.929565Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:40:47,Booch01,pio02,2024-08-11T06:40:47.240525Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:40:57,Booch01,pio02,2024-08-11T06:40:57.725959Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:41:18,Booch01,pio02,2024-08-11T06:41:18.550649Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:41:46,Booch01,pio02,2024-08-11T06:41:46.861061Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:41:57,Booch01,pio02,2024-08-11T06:41:57.447791Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:42:18,Booch01,pio02,2024-08-11T06:42:18.273358Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:42:46,Booch01,pio02,2024-08-11T06:42:46.583474Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:42:57,Booch01,pio02,2024-08-11T06:42:57.136700Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:43:17,Booch01,pio02,2024-08-11T06:43:17.962570Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:43:46,Booch01,pio02,2024-08-11T06:43:46.270461Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:43:56,Booch01,pio02,2024-08-11T06:43:56.758682Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:44:17,Booch01,pio02,2024-08-11T06:44:17.688647Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:44:45,Booch01,pio02,2024-08-11T06:44:45.997470Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:44:56,Booch01,pio02,2024-08-11T06:44:56.485212Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:45:17,Booch01,pio02,2024-08-11T06:45:17.308272Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:45:45,Booch01,pio02,2024-08-11T06:45:45.669266Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:45:56,Booch01,pio02,2024-08-11T06:45:56.157687Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:46:16,Booch01,pio02,2024-08-11T06:46:16.984273Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:46:45,Booch01,pio02,2024-08-11T06:46:45.395316Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:46:55,Booch01,pio02,2024-08-11T06:46:55.884477Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:47:16,Booch01,pio02,2024-08-11T06:47:16.709661Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:47:45,Booch01,pio02,2024-08-11T06:47:45.017840Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:47:55,Booch01,pio02,2024-08-11T06:47:55.505310Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:48:16,Booch01,pio02,2024-08-11T06:48:16.329364Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:48:44,Booch01,pio02,2024-08-11T06:48:44.637911Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:48:55,Booch01,pio02,2024-08-11T06:48:55.225230Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:49:21,Booch01,pio02,2024-08-11T06:49:21.150625Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:49:49,Booch01,pio02,2024-08-11T06:49:49.462139Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:49:59,Booch01,pio02,2024-08-11T06:49:59.949357Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:50:20,Booch01,pio02,2024-08-11T06:50:20.773808Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:50:49,Booch01,pio02,2024-08-11T06:50:49.084307Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:50:59,Booch01,pio02,2024-08-11T06:50:59.671581Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:51:20,Booch01,pio02,2024-08-11T06:51:20.494860Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:51:48,Booch01,pio02,2024-08-11T06:51:48.805670Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:51:59,Booch01,pio02,2024-08-11T06:51:59.293888Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:52:20,Booch01,pio02,2024-08-11T06:52:20.118850Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:52:48,Booch01,pio02,2024-08-11T06:52:48.430371Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:52:58,Booch01,pio02,2024-08-11T06:52:58.916188Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:53:19,Booch01,pio02,2024-08-11T06:53:19.843301Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:53:48,Booch01,pio02,2024-08-11T06:53:48.153386Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:53:58,Booch01,pio02,2024-08-11T06:53:58.660068Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:54:19,Booch01,pio02,2024-08-11T06:54:19.483858Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:54:47,Booch01,pio02,2024-08-11T06:54:47.792095Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:54:58,Booch01,pio02,2024-08-11T06:54:58.281387Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:55:19,Booch01,pio02,2024-08-11T06:55:19.106689Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:55:47,Booch01,pio02,2024-08-11T06:55:47.520144Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:55:58,Booch01,pio02,2024-08-11T06:55:58.009382Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:56:18,Booch01,pio02,2024-08-11T06:56:18.831940Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:56:47,Booch01,pio02,2024-08-11T06:56:47.144073Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:56:57,Booch01,pio02,2024-08-11T06:56:57.635923Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:57:18,Booch01,pio02,2024-08-11T06:57:18.462989Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:57:46,Booch01,pio02,2024-08-11T06:57:46.772441Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:57:57,Booch01,pio02,2024-08-11T06:57:57.360421Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:58:18,Booch01,pio02,2024-08-11T06:58:18.184920Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:58:46,Booch01,pio02,2024-08-11T06:58:46.501549Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:58:56,Booch01,pio02,2024-08-11T06:58:56.990358Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 07:59:17,Booch01,pio02,2024-08-11T06:59:17.815459Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 07:59:46,Booch01,pio02,2024-08-11T06:59:46.123446Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 07:59:56,Booch01,pio02,2024-08-11T06:59:56.611553Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 08:00:17,Booch01,pio02,2024-08-11T07:00:17.541812Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 08:00:45,Booch01,pio02,2024-08-11T07:00:45.854200Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 08:00:56,Booch01,pio02,2024-08-11T07:00:56.339673Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 08:01:17,Booch01,pio02,2024-08-11T07:01:17.165888Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 08:01:45,Booch01,pio02,2024-08-11T07:01:45.478028Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 08:01:55,Booch01,pio02,2024-08-11T07:01:55.964505Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 08:02:16,Booch01,pio02,2024-08-11T07:02:16.789374Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 08:02:45,Booch01,pio02,2024-08-11T07:02:45.233521Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 08:02:55,Booch01,pio02,2024-08-11T07:02:55.722357Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 08:03:16,Booch01,pio02,2024-08-11T07:03:16.547350Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 08:03:44,Booch01,pio02,2024-08-11T07:03:44.858422Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 08:03:55,Booch01,pio02,2024-08-11T07:03:55.349287Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 08:04:16,Booch01,pio02,2024-08-11T07:04:16.175997Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 08:04:44,Booch01,pio02,2024-08-11T07:04:44.484825Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 08:04:55,Booch01,pio02,2024-08-11T07:04:55.073645Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 08:05:21,Booch01,pio02,2024-08-11T07:05:21.175320Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 08:05:49,Booch01,pio02,2024-08-11T07:05:49.485273Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 08:06:00,Booch01,pio02,2024-08-11T07:06:00.004335Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 08:06:20,Booch01,pio02,2024-08-11T07:06:20.829469Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 08:06:49,Booch01,pio02,2024-08-11T07:06:49.139965Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 08:06:59,Booch01,pio02,2024-08-11T07:06:59.726810Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 08:07:20,Booch01,pio02,2024-08-11T07:07:20.551445Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 08:07:48,Booch01,pio02,2024-08-11T07:07:48.860883Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 08:07:59,Booch01,pio02,2024-08-11T07:07:59.351538Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 08:08:20,Booch01,pio02,2024-08-11T07:08:20.207945Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 08:08:48,Booch01,pio02,2024-08-11T07:08:48.518179Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 08:08:59,Booch01,pio02,2024-08-11T07:08:59.005022Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 08:09:19,Booch01,pio02,2024-08-11T07:09:19.932003Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 08:09:48,Booch01,pio02,2024-08-11T07:09:48.247943Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 08:09:58,Booch01,pio02,2024-08-11T07:09:58.746933Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 08:10:19,Booch01,pio02,2024-08-11T07:10:19.576816Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 08:10:47,Booch01,pio02,2024-08-11T07:10:47.887787Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 08:10:58,Booch01,pio02,2024-08-11T07:10:58.376077Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 08:11:19,Booch01,pio02,2024-08-11T07:11:19.200338Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 08:11:47,Booch01,pio02,2024-08-11T07:11:47.513478Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 08:11:58,Booch01,pio02,2024-08-11T07:11:58.001401Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 08:12:18,Booch01,pio02,2024-08-11T07:12:18.926827Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 08:12:47,Booch01,pio02,2024-08-11T07:12:47.236301Z,remove_waste,0.9375,dosing_automation:chemostat
2024-08-11 08:12:57,Booch01,pio02,2024-08-11T07:12:57.724158Z,remove_waste,1.875,dosing_automation:chemostat
2024-08-11 08:13:18,Booch01,pio02,2024-08-11T07:13:18.550872Z,add_media,0.9375,dosing_automation:chemostat
2024-08-11 08:13:46,Booch01,pio02,2024-08-11T07:13:46.864329Z,remove_waste,0.9375,dosing_automation:chemostat
