timestamp_localtime,experiment,pioreactor_unit,timestamp,event_name,message,data
2023-12-08 19:41:12,Spirulina 003,pio001,2023-12-08T19:41:12.057538Z,UpdatedHeaterDC,delta_dc=-0.015000000000018332,"{""current_dc"": 44.83, ""delta_dc"": -0.015000000000018332}"
2023-12-08 19:44:57,Spirulina 003,pio001,2023-12-08T19:44:57.068564Z,UpdatedHeaterDC,delta_dc=0.3150000000000226,"{""current_dc"": 45.15, ""delta_dc"": 0.3150000000000226}"
2023-12-08 19:48:42,Spirulina 003,pio001,2023-12-08T19:48:42.077822Z,UpdatedHeaterDC,delta_dc=0.015000000000018332,"{""current_dc"": 45.17, ""delta_dc"": 0.015000000000018332}"
2023-12-08 19:52:27,Spirulina 003,pio001,2023-12-08T19:52:27.064327Z,UpdatedHeaterDC,delta_dc=-0.3150000000000226,"{""current_dc"": 44.85, ""delta_dc"": -0.3150000000000226}"
2023-12-08 19:56:12,Spirulina 003,pio001,2023-12-08T19:56:12.075555Z,UpdatedHeaterDC,delta_dc=-0.09000000000000341,"{""current_dc"": 44.76, ""delta_dc"": -0.09000000000000341}"
2023-12-08 19:59:57,Spirulina 003,pio001,2023-12-08T19:59:57.078734Z,UpdatedHeaterDC,delta_dc=0.36000000000001364,"{""current_dc"": 45.12, ""delta_dc"": 0.36000000000001364}"
2023-12-08 20:03:42,Spirulina 003,pio001,2023-12-08T20:03:42.062475Z,UpdatedHeaterDC,delta_dc=0.1649999999999885,"{""current_dc"": 45.28, ""delta_dc"": 0.1649999999999885}"
2023-12-08 20:07:27,Spirulina 003,pio001,2023-12-08T20:07:27.071143Z,UpdatedHeaterDC,delta_dc=-0.25499999999998124,"{""current_dc"": 45.03, ""delta_dc"": -0.25499999999998124}"
2023-12-08 20:11:12,Spirulina 003,pio001,2023-12-08T20:11:12.064728Z,UpdatedHeaterDC,delta_dc=-0.1050000000000324,"{""current_dc"": 44.92, ""delta_dc"": -0.1050000000000324}"
2023-12-08 20:14:57,Spirulina 003,pio001,2023-12-08T20:14:57.074447Z,UpdatedHeaterDC,delta_dc=0.01500000000002899,"{""current_dc"": 44.94, ""delta_dc"": 0.01500000000002899}"
2023-12-08 20:18:42,Spirulina 003,pio001,2023-12-08T20:18:42.066132Z,UpdatedHeaterDC,delta_dc=0.34499999999998465,"{""current_dc"": 45.28, ""delta_dc"": 0.34499999999998465}"
2023-12-08 20:22:27,Spirulina 003,pio001,2023-12-08T20:22:27.089493Z,UpdatedHeaterDC,delta_dc=-0.25499999999998124,"{""current_dc"": 45.03, ""delta_dc"": -0.25499999999998124}"
2023-12-08 20:26:12,Spirulina 003,pio001,2023-12-08T20:26:12.066500Z,UpdatedHeaterDC,delta_dc=-0.25500000000000256,"{""current_dc"": 44.77, ""delta_dc"": -0.25500000000000256}"
2023-12-08 20:29:57,Spirulina 003,pio001,2023-12-08T20:29:57.072504Z,UpdatedHeaterDC,delta_dc=0.029999999999972715,"{""current_dc"": 44.8, ""delta_dc"": 0.029999999999972715}"
2023-12-08 20:33:42,Spirulina 003,pio001,2023-12-08T20:33:42.069550Z,UpdatedHeaterDC,delta_dc=0.3900000000000077,"{""current_dc"": 45.19, ""delta_dc"": 0.3900000000000077}"
2023-12-08 20:37:27,Spirulina 003,pio001,2023-12-08T20:37:27.074806Z,UpdatedHeaterDC,delta_dc=0.11999999999999744,"{""current_dc"": 45.31, ""delta_dc"": 0.11999999999999744}"
2023-12-08 20:41:12,Spirulina 003,pio001,2023-12-08T20:41:12.073605Z,UpdatedHeaterDC,delta_dc=-0.3300000000000196,"{""current_dc"": 44.98, ""delta_dc"": -0.3300000000000196}"
2023-12-08 20:44:57,Spirulina 003,pio001,2023-12-08T20:44:57.066034Z,UpdatedHeaterDC,delta_dc=-0.13499999999999446,"{""current_dc"": 44.84, ""delta_dc"": -0.13499999999999446}"
2023-12-08 20:48:42,Spirulina 003,pio001,2023-12-08T20:48:42.072873Z,UpdatedHeaterDC,delta_dc=0.2099999999999902,"{""current_dc"": 45.05, ""delta_dc"": 0.2099999999999902}"
2023-12-08 20:52:27,Spirulina 003,pio001,2023-12-08T20:52:27.060384Z,UpdatedHeaterDC,delta_dc=0.18000000000001748,"{""current_dc"": 45.23, ""delta_dc"": 0.18000000000001748}"
2023-12-08 20:56:12,Spirulina 003,pio001,2023-12-08T20:56:12.054800Z,UpdatedHeaterDC,delta_dc=-0.36000000000001364,"{""current_dc"": 44.87, ""delta_dc"": -0.36000000000001364}"
2023-12-08 20:59:57,Spirulina 003,pio001,2023-12-08T20:59:57.057640Z,UpdatedHeaterDC,delta_dc=-0.09000000000000341,"{""current_dc"": 44.78, ""delta_dc"": -0.09000000000000341}"
2023-12-08 21:03:42,Spirulina 003,pio001,2023-12-08T21:03:42.077258Z,UpdatedHeaterDC,delta_dc=0.36000000000001364,"{""current_dc"": 45.14, ""delta_dc"": 0.36000000000001364}"
2023-12-08 21:07:27,Spirulina 003,pio001,2023-12-08T21:07:27.063263Z,UpdatedHeaterDC,delta_dc=0.1649999999999885,"{""current_dc"": 45.3, ""delta_dc"": 0.1649999999999885}"
2023-12-08 21:11:12,Spirulina 003,pio001,2023-12-08T21:11:12.072952Z,UpdatedHeaterDC,delta_dc=-0.029999999999972715,"{""current_dc"": 45.27, ""delta_dc"": -0.029999999999972715}"
2023-12-08 21:14:57,Spirulina 003,pio001,2023-12-08T21:14:57.068286Z,UpdatedHeaterDC,delta_dc=-0.3150000000000226,"{""current_dc"": 44.95, ""delta_dc"": -0.3150000000000226}"
2023-12-08 21:18:42,Spirulina 003,pio001,2023-12-08T21:18:42.067903Z,UpdatedHeaterDC,delta_dc=-0.015000000000018332,"{""current_dc"": 44.93, ""delta_dc"": -0.015000000000018332}"
2023-12-08 21:22:27,Spirulina 003,pio001,2023-12-08T21:22:27.068079Z,UpdatedHeaterDC,delta_dc=0.3150000000000226,"{""current_dc"": 45.25, ""delta_dc"": 0.3150000000000226}"
2023-12-08 21:26:12,Spirulina 003,pio001,2023-12-08T21:26:12.079426Z,UpdatedHeaterDC,delta_dc=0.09000000000000341,"{""current_dc"": 45.34, ""delta_dc"": 0.09000000000000341}"
