timestamp_localtime,experiment,pioreactor_unit,timestamp,temperature_c
2023-11-28 04:38:02,Spirulina 003,pio001,2023-11-28T04:38:02.743758Z,32.47
2023-11-28 04:41:47,Spirulina 003,pio001,2023-11-28T04:41:47.738016Z,32.48
2023-11-28 04:45:32,Spirulina 003,pio001,2023-11-28T04:45:32.757723Z,32.47
2023-11-28 04:49:17,Spirulina 003,pio001,2023-11-28T04:49:17.757186Z,32.49
2023-11-28 04:53:02,Spirulina 003,pio001,2023-11-28T04:53:02.754459Z,32.47
2023-11-28 04:56:47,Spirulina 003,pio001,2023-11-28T04:56:47.741185Z,32.48
2023-11-28 05:00:32,Spirulina 003,pio001,2023-11-28T05:00:32.759140Z,32.48
2023-11-28 05:04:17,Spirulina 003,pio001,2023-11-28T05:04:17.752623Z,32.45
2023-11-28 05:08:02,Spirulina 003,pio001,2023-11-28T05:08:02.741431Z,32.48
2023-11-28 05:11:47,Spirulina 003,pio001,2023-11-28T05:11:47.741891Z,32.47
2023-11-28 05:15:32,Spirulina 003,pio001,2023-11-28T05:15:32.742220Z,32.48
2023-11-28 05:19:17,Spirulina 003,pio001,2023-11-28T05:19:17.742599Z,32.47
2023-11-28 05:23:02,Spirulina 003,pio001,2023-11-28T05:23:02.742228Z,32.45
2023-11-28 05:26:47,Spirulina 003,pio001,2023-11-28T05:26:47.749663Z,32.47
2023-11-28 05:30:32,Spirulina 003,pio001,2023-11-28T05:30:32.746925Z,32.49
2023-11-28 05:34:17,Spirulina 003,pio001,2023-11-28T05:34:17.737931Z,32.47
2023-11-28 05:38:02,Spirulina 003,pio001,2023-11-28T05:38:02.742829Z,32.48
2023-11-28 05:41:47,Spirulina 003,pio001,2023-11-28T05:41:47.751720Z,32.5
2023-11-28 05:45:32,Spirulina 003,pio001,2023-11-28T05:45:32.736239Z,32.47
2023-11-28 05:49:17,Spirulina 003,pio001,2023-11-28T05:49:17.731040Z,32.48
2023-11-28 05:53:02,Spirulina 003,pio001,2023-11-28T05:53:02.748408Z,32.47
2023-11-28 05:56:47,Spirulina 003,pio001,2023-11-28T05:56:47.739416Z,32.43
2023-11-28 06:00:32,Spirulina 003,pio001,2023-11-28T06:00:32.738447Z,32.49
2023-11-28 06:04:17,Spirulina 003,pio001,2023-11-28T06:04:17.740329Z,32.48
2023-11-28 06:08:02,Spirulina 003,pio001,2023-11-28T06:08:02.740260Z,32.47
2023-11-28 06:11:47,Spirulina 003,pio001,2023-11-28T06:11:47.738599Z,32.52
2023-11-28 06:15:32,Spirulina 003,pio001,2023-11-28T06:15:32.748167Z,32.48
2023-11-28 06:19:17,Spirulina 003,pio001,2023-11-28T06:19:17.752190Z,32.46
2023-11-28 06:23:02,Spirulina 003,pio001,2023-11-28T06:23:02.758605Z,32.49
2023-11-28 06:26:47,Spirulina 003,pio001,2023-11-28T06:26:47.758852Z,32.48
2023-11-28 06:30:32,Spirulina 003,pio001,2023-11-28T06:30:32.748897Z,32.46
2023-11-28 06:34:17,Spirulina 003,pio001,2023-11-28T06:34:17.741333Z,32.47
2023-11-28 06:38:02,Spirulina 003,pio001,2023-11-28T06:38:02.750234Z,32.45
2023-11-28 06:41:47,Spirulina 003,pio001,2023-11-28T06:41:47.739338Z,32.47
2023-11-28 06:45:32,Spirulina 003,pio001,2023-11-28T06:45:32.745729Z,32.5
2023-11-28 06:49:17,Spirulina 003,pio001,2023-11-28T06:49:17.730412Z,32.47
2023-11-28 06:53:02,Spirulina 003,pio001,2023-11-28T06:53:02.745277Z,32.51
2023-11-28 06:56:47,Spirulina 003,pio001,2023-11-28T06:56:47.757781Z,32.52
2023-11-28 07:00:32,Spirulina 003,pio001,2023-11-28T07:00:32.754464Z,32.46
2023-11-28 07:04:17,Spirulina 003,pio001,2023-11-28T07:04:17.746419Z,32.48
2023-11-28 07:08:02,Spirulina 003,pio001,2023-11-28T07:08:02.749241Z,32.51
2023-11-28 07:11:47,Spirulina 003,pio001,2023-11-28T07:11:47.746624Z,32.39
2023-11-28 07:15:32,Spirulina 003,pio001,2023-11-28T07:15:32.743892Z,32.45
2023-11-28 07:19:17,Spirulina 003,pio001,2023-11-28T07:19:17.759944Z,32.46
2023-11-28 07:23:02,Spirulina 003,pio001,2023-11-28T07:23:02.756520Z,32.47
2023-11-28 07:26:47,Spirulina 003,pio001,2023-11-28T07:26:47.740242Z,32.5
2023-11-28 07:30:32,Spirulina 003,pio001,2023-11-28T07:30:32.738180Z,32.51
2023-11-28 07:34:17,Spirulina 003,pio001,2023-11-28T07:34:17.757756Z,32.45
2023-11-28 07:38:02,Spirulina 003,pio001,2023-11-28T07:38:02.745457Z,32.5
2023-11-28 07:41:47,Spirulina 003,pio001,2023-11-28T07:41:47.756486Z,32.51
2023-11-28 07:45:32,Spirulina 003,pio001,2023-11-28T07:45:32.757878Z,32.46
2023-11-28 07:49:17,Spirulina 003,pio001,2023-11-28T07:49:17.752010Z,32.46
2023-11-28 07:53:02,Spirulina 003,pio001,2023-11-28T07:53:02.745010Z,32.5
2023-11-28 07:56:47,Spirulina 003,pio001,2023-11-28T07:56:47.759015Z,32.47
2023-11-28 08:00:32,Spirulina 003,pio001,2023-11-28T08:00:32.747497Z,32.51
2023-11-28 08:04:17,Spirulina 003,pio001,2023-11-28T08:04:17.748518Z,32.51
2023-11-28 08:08:02,Spirulina 003,pio001,2023-11-28T08:08:02.768229Z,32.5
2023-11-28 08:11:47,Spirulina 003,pio001,2023-11-28T08:11:47.746109Z,32.48
2023-11-28 08:15:32,Spirulina 003,pio001,2023-11-28T08:15:32.749175Z,32.5
2023-11-28 08:19:17,Spirulina 003,pio001,2023-11-28T08:19:17.750720Z,32.5
2023-11-28 08:23:02,Spirulina 003,pio001,2023-11-28T08:23:02.758865Z,32.5
2023-11-28 08:26:47,Spirulina 003,pio001,2023-11-28T08:26:47.754344Z,32.56
2023-11-28 08:30:32,Spirulina 003,pio001,2023-11-28T08:30:32.758350Z,32.58
2023-11-28 08:34:17,Spirulina 003,pio001,2023-11-28T08:34:17.743601Z,32.57
2023-11-28 08:38:02,Spirulina 003,pio001,2023-11-28T08:38:02.753282Z,32.61
2023-11-28 08:41:47,Spirulina 003,pio001,2023-11-28T08:41:47.758175Z,32.57
2023-11-28 08:45:32,Spirulina 003,pio001,2023-11-28T08:45:32.758858Z,32.53
2023-11-28 08:49:17,Spirulina 003,pio001,2023-11-28T08:49:17.765334Z,32.56
2023-11-28 08:53:02,Spirulina 003,pio001,2023-11-28T08:53:02.747037Z,32.52
2023-11-28 08:56:47,Spirulina 003,pio001,2023-11-28T08:56:47.745796Z,32.52
2023-11-28 09:00:32,Spirulina 003,pio001,2023-11-28T09:00:32.752003Z,32.51
2023-11-28 09:04:17,Spirulina 003,pio001,2023-11-28T09:04:17.745435Z,32.46
2023-11-28 09:08:02,Spirulina 003,pio001,2023-11-28T09:08:02.744185Z,32.64
2023-11-28 09:11:47,Spirulina 003,pio001,2023-11-28T09:11:47.738825Z,32.67
2023-11-28 09:15:32,Spirulina 003,pio001,2023-11-28T09:15:32.756704Z,32.72
2023-11-28 09:19:17,Spirulina 003,pio001,2023-11-28T09:19:17.748447Z,32.77
2023-11-28 09:23:02,Spirulina 003,pio001,2023-11-28T09:23:02.743724Z,32.71
2023-11-28 09:26:47,Spirulina 003,pio001,2023-11-28T09:26:47.753334Z,32.75
2023-11-28 09:30:32,Spirulina 003,pio001,2023-11-28T09:30:32.750922Z,32.77
2023-11-28 09:34:17,Spirulina 003,pio001,2023-11-28T09:34:17.747756Z,32.69
2023-11-28 09:38:02,Spirulina 003,pio001,2023-11-28T09:38:02.754991Z,32.63
2023-11-28 09:41:47,Spirulina 003,pio001,2023-11-28T09:41:47.738174Z,32.58
2023-11-28 09:45:32,Spirulina 003,pio001,2023-11-28T09:45:32.738589Z,32.44
2023-11-28 09:49:17,Spirulina 003,pio001,2023-11-28T09:49:17.755866Z,32.4
2023-11-28 09:53:02,Spirulina 003,pio001,2023-11-28T09:53:02.742376Z,32.39
2023-11-28 09:56:47,Spirulina 003,pio001,2023-11-28T09:56:47.742209Z,32.36
2023-11-28 10:00:32,Spirulina 003,pio001,2023-11-28T10:00:32.740029Z,32.37
2023-11-28 10:04:17,Spirulina 003,pio001,2023-11-28T10:04:17.738799Z,32.39
2023-11-28 10:08:02,Spirulina 003,pio001,2023-11-28T10:08:02.741174Z,32.41
2023-11-28 10:11:47,Spirulina 003,pio001,2023-11-28T10:11:47.743640Z,32.43
2023-11-28 10:15:32,Spirulina 003,pio001,2023-11-28T10:15:32.744779Z,32.45
2023-11-28 10:19:17,Spirulina 003,pio001,2023-11-28T10:19:17.752139Z,32.46
2023-11-28 10:23:02,Spirulina 003,pio001,2023-11-28T10:23:02.742408Z,32.48
2023-11-28 10:26:47,Spirulina 003,pio001,2023-11-28T10:26:47.744882Z,32.49
2023-11-28 10:30:32,Spirulina 003,pio001,2023-11-28T10:30:32.743065Z,32.47
2023-11-28 10:34:17,Spirulina 003,pio001,2023-11-28T10:34:17.742175Z,32.45
2023-11-28 10:38:02,Spirulina 003,pio001,2023-11-28T10:38:02.742596Z,32.45
2023-11-28 10:41:47,Spirulina 003,pio001,2023-11-28T10:41:47.744452Z,32.46
2023-11-28 10:45:32,Spirulina 003,pio001,2023-11-28T10:45:32.744378Z,32.49
